temperatura | Data: 2024-06-13 02:37:57am Estado:5.96,
temperatura | Data: 2024-06-13 02:37:58am Estado:5.18,
temperatura | Data: 2024-06-13 02:37:59am Estado:4.40,
temperatura | Data: 2024-06-13 02:38:01am Estado:2.83,
temperatura | Data: 2024-06-13 02:38:02am Estado:2.05,
temperatura | Data: 2024-06-13 02:38:04am Estado:1.27,
temperatura | Data: 2024-06-13 02:38:08am Estado:0.49,
temperatura | Data: 2024-06-13 02:38:14am Estado:-0.49,
temperatura | Data: 2024-06-13 02:38:20am Estado:0.49,
temperatura | Data: 2024-06-13 02:38:22am Estado:1.27,
temperatura | Data: 2024-06-13 02:38:23am Estado:2.05,
temperatura | Data: 2024-06-13 02:38:24am Estado:3.62,
temperatura | Data: 2024-06-13 02:38:26am Estado:5.96,
temperatura | Data: 2024-06-13 02:38:27am Estado:7.53,
temperatura | Data: 2024-06-13 02:38:28am Estado:9.09,
temperatura | Data: 2024-06-13 02:38:29am Estado:10.65,
temperatura | Data: 2024-06-13 02:38:30am Estado:12.22,
temperatura | Data: 2024-06-13 02:38:32am Estado:15.35,
temperatura | Data: 2024-06-13 02:38:33am Estado:16.13,
temperatura | Data: 2024-06-13 02:38:36am Estado:15.35,
temperatura | Data: 2024-06-13 02:38:37am Estado:14.57,
temperatura | Data: 2024-06-13 02:38:39am Estado:13.00,
temperatura | Data: 2024-06-13 02:38:40am Estado:12.22,
temperatura | Data: 2024-06-13 02:38:41am Estado:10.65,
temperatura | Data: 2024-06-13 02:38:42am Estado:9.87,
temperatura | Data: 2024-06-13 02:38:43am Estado:8.31,
temperatura | Data: 2024-06-13 02:38:45am Estado:5.96,
temperatura | Data: 2024-06-13 02:38:46am Estado:5.18,
temperatura | Data: 2024-06-13 02:38:47am Estado:4.40,
temperatura | Data: 2024-06-13 02:38:48am Estado:3.62,
temperatura | Data: 2024-06-13 02:38:49am Estado:2.83,
temperatura | Data: 2024-06-13 02:38:51am Estado:2.05,
temperatura | Data: 2024-06-13 02:38:52am Estado:1.27,
temperatura | Data: 2024-06-13 02:38:57am Estado:0.49,
temperatura | Data: 2024-06-13 02:39:03am Estado:-0.49,
temperatura | Data: 2024-06-13 02:39:08am Estado:0.49,
temperatura | Data: 2024-06-13 02:39:10am Estado:1.27,
temperatura | Data: 2024-06-13 02:39:11am Estado:2.05,
temperatura | Data: 2024-06-13 02:39:12am Estado:3.62,
temperatura | Data: 2024-06-13 02:39:13am Estado:4.40,
temperatura | Data: 2024-06-13 02:39:14am Estado:5.96,
temperatura | Data: 2024-06-13 02:39:16am Estado:9.09,
temperatura | Data: 2024-06-13 02:39:17am Estado:10.65,
temperatura | Data: 2024-06-13 02:39:18am Estado:12.22,
temperatura | Data: 2024-06-13 02:39:19am Estado:13.78,
temperatura | Data: 2024-06-13 02:39:20am Estado:15.35,
temperatura | Data: 2024-06-13 02:39:21am Estado:16.13,
temperatura | Data: 2024-06-13 02:39:24am Estado:15.35,
temperatura | Data: 2024-06-13 02:39:26am Estado:14.57,
temperatura | Data: 2024-06-13 02:39:27am Estado:13.00,
temperatura | Data: 2024-06-13 02:39:29am Estado:10.65,
temperatura | Data: 2024-06-13 02:39:30am Estado:9.87,
temperatura | Data: 2024-06-13 02:39:31am Estado:8.31,
temperatura | Data: 2024-06-13 02:39:32am Estado:6.74,
temperatura | Data: 2024-06-13 02:39:33am Estado:5.96,
temperatura | Data: 2024-06-13 02:39:35am Estado:4.40,
