Cancela/2024-04-21/08:51:38pm/Aberto,
Cancela/2024-04-21/08:51:38pm/Fechado,
cancela | Data: 2024-06-14 12:00:18am Estado:0.00,
cancela | Data: 2024-06-14 12:00:18am Estado:0.00,
cancela | Data: 2024-06-14 12:00:18am Estado:0.00,
cancela | Data: 2024-06-14 12:00:18am Estado:0.00,
cancela | Data: 2024-06-14 12:00:18am Estado:0.00,
cancela | Data: 2024-06-14 12:00:18am Estado:0.00,
cancela | Data: 2024-06-14 12:00:18am Estado:0.00,
cancela | Data: 2024-06-14 12:00:19am Estado:0.00,
cancela | Data: 2024-06-14 12:00:19am Estado:0.00,
cancela | Data: 2024-06-14 12:00:19am Estado:0.00,
cancela | Data: 2024-06-14 12:00:19am Estado:0.00,
cancela | Data: 2024-06-14 12:00:19am Estado:0.00,
cancela | Data: 2024-06-14 12:00:19am Estado:0.00,
cancela | Data: 2024-06-14 12:00:19am Estado:0.00,
cancela | Data: 2024-06-14 12:00:19am Estado:0.00,
cancela | Data: 2024-06-14 12:00:19am Estado:0.00,
cancela | Data: 2024-06-14 12:00:20am Estado:0.00,
cancela | Data: 2024-06-14 12:00:20am Estado:0.00,
cancela | Data: 2024-06-14 12:00:20am Estado:0.00,
cancela | Data: 2024-06-14 12:00:20am Estado:0.00,
cancela | Data: 2024-06-14 12:00:20am Estado:0.00,
cancela | Data: 2024-06-14 12:00:20am Estado:0.00,
cancela | Data: 2024-06-14 12:00:20am Estado:0.00,
cancela | Data: 2024-06-14 12:00:20am Estado:0.00,
cancela | Data: 2024-06-14 12:00:20am Estado:0.00,
cancela | Data: 2024-06-14 12:00:21am Estado:0.00,
cancela | Data: 2024-06-14 12:00:21am Estado:0.00,
cancela | Data: 2024-06-14 12:00:21am Estado:0.00,
cancela | Data: 2024-06-14 12:00:21am Estado:0.00,
cancela | Data: 2024-06-14 12:00:21am Estado:0.00,
cancela | Data: 2024-06-14 12:00:21am Estado:0.00,
cancela | Data: 2024-06-14 12:00:21am Estado:0.00,
cancela | Data: 2024-06-14 12:00:21am Estado:0.00,
cancela | Data: 2024-06-14 12:00:21am Estado:0.00,
cancela | Data: 2024-06-14 12:00:22am Estado:0.00,
cancela | Data: 2024-06-14 12:00:22am Estado:0.00,
cancela | Data: 2024-06-14 12:00:22am Estado:0.00,
cancela | Data: 2024-06-14 12:00:22am Estado:0.00,
cancela | Data: 2024-06-14 12:00:22am Estado:0.00,
cancela | Data: 2024-06-14 12:00:22am Estado:0.00,
cancela | Data: 2024-06-14 12:00:22am Estado:0.00,
cancela | Data: 2024-06-14 12:00:22am Estado:0.00,
cancela | Data: 2024-06-14 12:00:23am Estado:0.00,
cancela | Data: 2024-06-14 12:00:23am Estado:0.00,
cancela | Data: 2024-06-14 12:00:23am Estado:0.00,
